StudentID,Gender,Age,StudyProgram,StudyHoursPerWeek,Absences,MidtermScore,FinalScore,ParentEducation,FinalGrade
STU096,Male,19,Arts,5,10,50,55,High School,Fail
STU097,Female,20,Computer Science,20,0,98,100,PhD,Pass
STU098,Male,21,Business,11,2,74,78,Bachelor,Pass
STU099,Female,22,Engineering,15,3,86,90,Master,Pass
STU100,Male,19,Arts,6,5,59,64,High School,Pass
STU101,Female,20,Computer Science,12,1,77,84,Bachelor,Pass
STU102,Male,21,Business,9,4,66,70,Master,Pass
STU103,Female,19,Engineering,14,2,82,88,High School,Pass
STU104,Male,22,Arts,5,2,43,49,Bachelor,Fail
STU105,Female,20,Computer Science,19,0,96,99,PhD,Pass
STU106,Male,21,Business,10,3,72,76,Bachelor,Pass
STU107,Female,19,Engineering,16,1,89,92,Master,Pass
STU108,Male,20,Arts,7,7,57,61,High School,Fail
STU109,Female,22,Computer Science,11,2,78,82,Bachelor,Pass
STU110,Male,21,Business,8,5,63,68,Master,Pass
STU111,Female,19,Engineering,17,0,92,96,PhD,Pass
STU112,Male,20,Arts,4,11,49,54,Bachelor,Fail
STU113,Female,21,Computer Science,13,3,84,87,High School,Pass
STU114,Male,19,Business,9,2,70,74,Bachelor,Pass
STU115,Female,22,Engineering,15,1,85,88,Master,Pass
STU116,Male,20,Arts,5,9,54,59,High School,Fail
STU117,Female,21,Computer Science,22,0,95,97,PhD,Pass
STU118,Male,19,Business,11,4,75,80,Bachelor,Pass
STU119,Female,20,Arts,14,2,81,84,Master,Pass
STU120,Male,21,Arts,6,6,60,85,High School,Pass
STU121,Female,22,Computer Science,12,2,78,85,Bachelor,Pass
STU122,Male,19,Business,8,5,65,70,Master,Pass
STU123,Female,20,Engineering,15,0,88,92,High School,Pass
STU124,Male,21,Arts,5,2,45,50,Bachelor,Fail
STU125,Female,19,Computer Science,21,1,95,98,PhD,Pass
STU126,Male,22,Business,10,3,70,72,Bachelor,Pass
STU127,Female,20,Engineering,14,2,82,85,Master,Pass
STU128,Male,21,Arts,6,8,55,59,High School,Fail
STU129,Female,19,Computer Science,11,4,75,78,Bachelor,Pass
STU130,Male,20,Business,9,1,68,74,Master,Pass
STU131,Female,21,Engineering,18,0,91,95,PhD,Pass
STU132,Male,22,Arts,4,2,40,45,Bachelor,Fail
STU133,Female,19,Computer Science,13,2,80,84,High School,Pass
STU134,Male,20,Business,7,6,60,65,Bachelor,Pass
STU135,Female,21,Engineering,16,1,85,89,Master,Pass
STU136,Male,19,Arts,5,10,50,55,High School,Fail
STU137,Female,22,Computer Science,20,0,98,99,PhD,Pass
STU138,Male,20,Business,11,2,72,76,Bachelor,Pass
STU139,Female,21,Engineering,15,3,84,88,Master,Pass
STU140,Male,19,Arts,6,5,58,63,High School,Pass
STU141,Female,20,Computer Science,12,1,79,86,Bachelor,Pass
STU142,Male,21,Business,9,4,67,71,Master,Pass
STU143,Female,22,Engineering,14,2,81,87,High School,Pass
STU144,Male,19,Arts,5,2,42,48,Bachelor,Fail
STU145,Female,20,Computer Science,19,0,94,97,PhD,Pass
STU146,Male,21,Business,10,3,71,75,Bachelor,Pass
STU147,Female,19,Engineering,16,1,87,90,Master,Pass
STU148,Male,22,Arts,7,7,56,60,High School,Fail
STU149,Female,20,Computer Science,11,2,76,80,Bachelor,Pass
STU150,Male,21,Business,8,5,64,69,Master,Pass
STU151,Female,19,Engineering,17,0,90,94,PhD,Pass
STU152,Male,20,Arts,4,11,48,52,Bachelor,Fail
STU153,Female,22,Computer Science,13,3,82,85,High School,Pass
STU154,Male,21,Business,9,2,69,73,Bachelor,Pass
STU155,Female,19,Engineering,15,1,86,89,Master,Pass
STU156,Male,20,Arts,5,9,52,57,High School,Fail
STU157,Female,21,Computer Science,22,0,96,98,PhD,Pass
STU158,Male,19,Business,11,4,73,78,Bachelor,Pass
STU159,Female,20,Arts,14,2,83,86,Master,Pass
STU160,Male,21,Arts,6,6,59,85,High School,Pass
STU161,Female,22,Computer Science,12,2,77,83,Bachelor,Pass
STU162,Male,19,Business,8,5,66,70,Master,Pass
STU163,Female,20,Engineering,15,0,89,93,High School,Pass
STU164,Male,21,Arts,5,2,44,49,Bachelor,Fail
STU165,Female,19,Computer Science,21,1,93,96,PhD,Pass
STU166,Male,22,Business,10,3,72,74,Bachelor,Pass
STU167,Female,20,Engineering,14,2,84,87,Master,Pass
STU168,Male,21,Arts,6,8,54,58,High School,Fail
STU169,Female,19,Computer Science,11,4,74,77,Bachelor,Pass
STU170,Male,20,Business,9,1,69,75,Master,Pass
STU171,Female,21,Engineering,18,0,92,96,PhD,Pass
STU172,Male,19,Arts,4,2,41,46,Bachelor,Fail
STU173,Female,22,Computer Science,13,2,81,85,High School,Pass
STU174,Male,20,Business,7,6,61,66,Bachelor,Pass
STU175,Female,21,Engineering,16,1,86,90,Master,Pass
STU176,Male,19,Arts,5,10,51,56,High School,Fail
STU177,Female,20,Computer Science,20,0,97,99,PhD,Pass
STU178,Male,21,Business,11,2,73,77,Bachelor,Pass
STU179,Female,22,Engineering,15,3,85,89,Master,Pass
STU180,Male,19,Arts,6,5,57,80,High School,Pass
STU181,Female,20,Computer Science,12,1,78,85,Bachelor,Pass
STU182,Male,21,Business,9,4,68,72,Master,Pass
STU183,Female,19,Engineering,14,2,80,86,High School,Pass
STU184,Male,22,Arts,5,2,46,51,Bachelor,Fail
STU185,Female,20,Computer Science,19,0,95,98,PhD,Pass
STU186,Male,21,Business,10,3,70,73,Bachelor,Pass
STU187,Female,19,Engineering,16,1,88,91,Master,Pass
STU188,Male,20,Arts,7,7,55,59,High School,Fail
STU189,Female,22,Computer Science,11,2,77,81,Bachelor,Pass
STU190,Male,21,Business,8,5,65,70,Master,Pass
STU191,Female,19,Engineering,17,0,91,95,PhD,Pass
STU192,Male,20,Arts,4,11,47,53,Bachelor,Fail
STU193,Female,21,Computer Science,13,3,83,86,High School,Pass
STU194,Male,19,Business,9,2,68,72,Bachelor,Pass
STU195,Female,22,Engineering,15,1,87,90,Master,Pass
STU196,Male,20,Arts,5,9,53,58,High School,Fail
STU197,Female,21,Computer Science,22,0,97,99,PhD,Pass
STU198,Male,19,Business,11,4,74,78,Bachelor,Pass
STU199,Female,20,Engineering,14,3,82,85,Master,Pass
STU200,Male,21,Arts,6,5,56,61,High School,Fail
