StudentID,Gender,Age,StudyProgram,StudyHoursPerWeek,Absences,MidtermScore,FinalScore,ParentEducation,FinalGrade,Age_scaled,StudyHoursPerWeek_scaled,Absences_scaled,MidtermScore_scaled,FinalScore_scaled
STU020,Male,21,Arts,6,5,74,85,High School,Pass,0.666666666666667,0.1111111111111111,0.4545454545454546,0.586206896551724,0.7272727272727273
STU021,Female,19,Computer Science,12,1,79,86,Bachelor,Pass,0.0,0.4444444444444444,0.09090909090909091,0.6724137931034482,0.7454545454545454
STU022,Male,22,Business,9,4,67,71,Master,Pass,1.0,0.2777777777777778,0.36363636363636365,0.4655172413793103,0.47272727272727266
STU023,Female,20,Engineering,14,2,81,87,High School,Pass,0.33333333333333304,0.5555555555555555,0.18181818181818182,0.7068965517241379,0.7636363636363637
STU024,Male,21,Arts,5,2,42,48,Bachelor,Fail,0.666666666666667,0.05555555555555558,0.18181818181818182,0.03448275862068961,0.054545454545454564
STU025,Female,19,Computer Science,19,0,94,97,PhD,Pass,0.0,0.8333333333333334,0.0,0.9310344827586206,0.9454545454545453
STU026,Male,20,Business,10,3,71,75,Bachelor,Pass,0.33333333333333304,0.33333333333333337,0.2727272727272727,0.5344827586206895,0.5454545454545454
STU027,Female,21,Engineering,16,1,87,90,Master,Pass,0.666666666666667,0.6666666666666666,0.09090909090909091,0.8103448275862069,0.8181818181818181
STU028,Male,22,Arts,7,7,56,60,High School,Fail,1.0,0.16666666666666663,0.6363636363636364,0.2758620689655171,0.2727272727272727
STU029,Female,19,Computer Science,11,2,76,80,Bachelor,Pass,0.0,0.38888888888888884,0.18181818181818182,0.6206896551724137,0.6363636363636365
STU030,Male,20,Business,8,5,64,69,Master,Pass,0.33333333333333304,0.2222222222222222,0.4545454545454546,0.4137931034482758,0.4363636363636363
STU031,Female,21,Engineering,17,0,90,94,PhD,Pass,0.666666666666667,0.7222222222222222,0.0,0.8620689655172413,0.8909090909090909
STU032,Male,19,Arts,4,11,48,52,Bachelor,Fail,0.0,0.0,1.0,0.13793103448275856,0.12727272727272732
STU033,Female,20,Computer Science,13,3,82,85,High School,Pass,0.33333333333333304,0.5,0.2727272727272727,0.7241379310344827,0.7272727272727273
STU034,Male,22,Business,9,2,69,73,Bachelor,Pass,1.0,0.2777777777777778,0.18181818181818182,0.5,0.509090909090909
STU035,Female,21,Engineering,15,1,86,89,Master,Pass,0.666666666666667,0.611111111111111,0.09090909090909091,0.7931034482758621,0.8
STU036,Male,19,Arts,5,9,52,57,High School,Fail,0.0,0.05555555555555558,0.8181818181818182,0.2068965517241379,0.21818181818181825
STU037,Female,20,Computer Science,22,0,96,98,PhD,Pass,0.33333333333333304,0.9999999999999999,0.0,0.9655172413793103,0.9636363636363636
STU038,Male,21,Business,11,4,73,78,Bachelor,Pass,0.666666666666667,0.38888888888888884,0.36363636363636365,0.5689655172413792,0.6000000000000001
STU039,Female,22,Engineering,14,2,83,86,Master,Pass,1.0,0.5555555555555555,0.18181818181818182,0.7413793103448276,0.7454545454545454
STU040,Male,19,Arts,6,3,59,85,Bachelor,Pass,0.0,0.1111111111111111,0.2727272727272727,0.3275862068965516,0.7272727272727273
STU041,Female,20,Computer Science,12,2,77,83,High School,Pass,0.33333333333333304,0.4444444444444444,0.18181818181818182,0.6379310344827585,0.6909090909090909
STU042,Male,21,Business,8,5,66,70,Bachelor,Pass,0.666666666666667,0.2222222222222222,0.4545454545454546,0.4482758620689655,0.4545454545454546
STU043,Female,19,Engineering,15,0,89,93,Master,Pass,0.0,0.611111111111111,0.0,0.8448275862068966,0.8727272727272728
STU044,Male,22,Arts,5,2,44,49,High School,Fail,1.0,0.05555555555555558,0.18181818181818182,0.06896551724137923,0.07272727272727275
STU045,Female,20,Arts,21,1,93,96,PhD,Pass,0.33333333333333304,0.9444444444444443,0.09090909090909091,0.9137931034482758,0.9272727272727272
STU046,Male,21,Business,10,3,72,74,Bachelor,Pass,0.666666666666667,0.33333333333333337,0.2727272727272727,0.5517241379310345,0.5272727272727273
STU047,Female,19,Engineering,14,2,84,87,High School,Pass,0.0,0.5555555555555555,0.18181818181818182,0.7586206896551724,0.7636363636363637
STU048,Male,20,Arts,6,8,54,58,Master,Fail,0.33333333333333304,0.1111111111111111,0.7272727272727273,0.2413793103448275,0.23636363636363633
STU049,Female,22,Computer Science,11,4,74,77,Bachelor,Pass,1.0,0.38888888888888884,0.36363636363636365,0.586206896551724,0.5818181818181818
STU050,Male,21,Business,9,1,69,75,High School,Pass,0.666666666666667,0.2777777777777778,0.09090909090909091,0.5,0.5454545454545454
STU051,Female,19,Engineering,18,0,92,96,PhD,Pass,0.0,0.7777777777777778,0.0,0.896551724137931,0.9272727272727272
STU052,Male,20,Arts,4,2,41,46,Bachelor,Fail,0.33333333333333304,0.0,0.18181818181818182,0.01724137931034475,0.018181818181818188
STU053,Female,21,Computer Science,13,2,81,85,Master,Pass,0.666666666666667,0.5,0.18181818181818182,0.7068965517241379,0.7272727272727273
STU054,Male,22,Business,7,6,61,66,Bachelor,Pass,1.0,0.16666666666666663,0.5454545454545454,0.3620689655172413,0.38181818181818183
STU055,Female,19,Engineering,16,1,86,90,High School,Pass,0.0,0.6666666666666666,0.09090909090909091,0.7931034482758621,0.8181818181818181
STU056,Male,20,Arts,5,10,51,56,Bachelor,Fail,0.33333333333333304,0.05555555555555558,0.9090909090909092,0.18965517241379304,0.19999999999999996
STU057,Female,21,Computer Science,20,0,97,99,Master,Pass,0.666666666666667,0.888888888888889,0.0,0.982758620689655,0.9818181818181817
STU058,Male,19,Business,11,2,73,77,PhD,Pass,0.0,0.38888888888888884,0.18181818181818182,0.5689655172413792,0.5818181818181818
STU059,Female,22,Engineering,15,3,85,89,Bachelor,Pass,1.0,0.611111111111111,0.2727272727272727,0.7758620689655171,0.8
STU060,Male,20,Arts,6,5,57,62,High School,Pass,0.33333333333333304,0.1111111111111111,0.4545454545454546,0.293103448275862,0.3090909090909091
STU061,Female,21,Computer Science,12,1,78,85,Bachelor,Pass,0.666666666666667,0.4444444444444444,0.09090909090909091,0.6551724137931034,0.7272727272727273
STU062,Male,19,Business,9,4,68,72,Master,Pass,0.0,0.2777777777777778,0.36363636363636365,0.482758620689655,0.49090909090909096
STU063,Female,20,Engineering,14,2,80,86,High School,Pass,0.33333333333333304,0.5555555555555555,0.18181818181818182,0.6896551724137931,0.7454545454545454
STU064,Male,22,Arts,5,2,46,51,Bachelor,Fail,1.0,0.05555555555555558,0.18181818181818182,0.10344827586206895,0.10909090909090913
STU065,Female,21,Computer Science,19,0,95,98,PhD,Pass,0.666666666666667,0.8333333333333334,0.0,0.9482758620689655,0.9636363636363636
STU066,Male,19,Business,10,3,70,73,Bachelor,Pass,0.0,0.33333333333333337,0.2727272727272727,0.5172413793103448,0.509090909090909
STU067,Female,20,Engineering,16,1,88,91,Master,Pass,0.33333333333333304,0.6666666666666666,0.09090909090909091,0.8275862068965516,0.8363636363636364
STU068,Male,21,Arts,7,7,55,59,High School,Fail,0.666666666666667,0.16666666666666663,0.6363636363636364,0.2586206896551724,0.25454545454545463
STU069,Female,22,Computer Science,11,2,77,81,Bachelor,Pass,1.0,0.38888888888888884,0.18181818181818182,0.6379310344827585,0.6545454545454545
STU070,Male,19,Business,8,5,65,70,Master,Pass,0.0,0.2222222222222222,0.4545454545454546,0.43103448275862055,0.4545454545454546
STU071,Female,20,Engineering,17,0,91,95,PhD,Pass,0.33333333333333304,0.7222222222222222,0.0,0.8793103448275861,0.9090909090909092
STU072,Male,21,Arts,4,11,47,53,Bachelor,Fail,0.666666666666667,0.0,1.0,0.1206896551724137,0.1454545454545455
STU073,Female,19,Computer Science,13,3,83,86,High School,Pass,0.0,0.5,0.2727272727272727,0.7413793103448276,0.7454545454545454
STU074,Male,22,Business,9,2,68,72,Bachelor,Pass,1.0,0.2777777777777778,0.18181818181818182,0.482758620689655,0.49090909090909096
STU075,Female,20,Engineering,15,1,87,90,Master,Pass,0.33333333333333304,0.611111111111111,0.09090909090909091,0.8103448275862069,0.8181818181818181
STU076,Male,21,Arts,5,9,53,58,High School,Fail,0.666666666666667,0.05555555555555558,0.8181818181818182,0.22413793103448265,0.23636363636363633
STU077,Female,19,Computer Science,22,0,97,99,PhD,Pass,0.0,0.9999999999999999,0.0,0.982758620689655,0.9818181818181817
STU078,Male,20,Business,11,4,74,79,Bachelor,Pass,0.33333333333333304,0.38888888888888884,0.36363636363636365,0.586206896551724,0.6181818181818182
STU079,Female,21,Arts,14,2,82,85,Master,Pass,0.666666666666667,0.5555555555555555,0.18181818181818182,0.7241379310344827,0.7272727272727273
STU080,Male,22,Arts,6,6,58,85,High School,Pass,1.0,0.1111111111111111,0.5454545454545454,0.31034482758620685,0.7272727272727273
STU081,Female,19,Computer Science,12,2,79,84,Bachelor,Pass,0.0,0.4444444444444444,0.18181818181818182,0.6724137931034482,0.709090909090909
STU082,Male,20,Business,8,5,67,71,Master,Pass,0.33333333333333304,0.2222222222222222,0.4545454545454546,0.4655172413793103,0.47272727272727266
STU083,Female,21,Engineering,15,0,88,92,High School,Pass,0.666666666666667,0.611111111111111,0.0,0.8275862068965516,0.8545454545454545
STU084,Male,22,Arts,5,2,45,50,Bachelor,Fail,1.0,0.05555555555555558,0.18181818181818182,0.08620689655172409,0.09090909090909094
STU085,Female,19,Computer Science,21,1,94,97,PhD,Pass,0.0,0.9444444444444443,0.09090909090909091,0.9310344827586206,0.9454545454545453
STU086,Male,20,Business,10,3,71,75,Bachelor,Pass,0.33333333333333304,0.33333333333333337,0.2727272727272727,0.5344827586206895,0.5454545454545454
STU087,Female,21,Engineering,14,2,83,86,Master,Pass,0.666666666666667,0.5555555555555555,0.18181818181818182,0.7413793103448276,0.7454545454545454
STU088,Male,19,Arts,6,8,56,60,High School,Fail,0.0,0.1111111111111111,0.7272727272727273,0.2758620689655171,0.2727272727272727
STU089,Female,22,Computer Science,11,4,75,79,Bachelor,Pass,1.0,0.38888888888888884,0.36363636363636365,0.603448275862069,0.6181818181818182
STU090,Male,20,Arts,9,1,70,76,Master,Pass,0.33333333333333304,0.2777777777777778,0.09090909090909091,0.5172413793103448,0.5636363636363637
STU091,Female,21,Engineering,18,0,93,97,PhD,Pass,0.666666666666667,0.7777777777777778,0.0,0.9137931034482758,0.9454545454545453
STU092,Male,19,Arts,4,2,42,47,Bachelor,Fail,0.0,0.0,0.18181818181818182,0.03448275862068961,0.036363636363636376
STU093,Female,22,Computer Science,13,2,82,86,High School,Pass,1.0,0.5,0.18181818181818182,0.7241379310344827,0.7454545454545454
STU094,Male,20,Business,7,6,62,67,Bachelor,Pass,0.33333333333333304,0.16666666666666663,0.5454545454545454,0.3793103448275861,0.3999999999999999
STU095,Female,21,Engineering,16,1,87,91,Master,Pass,0.666666666666667,0.6666666666666666,0.09090909090909091,0.8103448275862069,0.8363636363636364
STU096,Male,19,Arts,5,10,50,55,High School,Fail,0.0,0.05555555555555558,0.9090909090909092,0.17241379310344818,0.18181818181818188
STU097,Female,20,Computer Science,20,0,98,100,PhD,Pass,0.33333333333333304,0.888888888888889,0.0,1.0,1.0
STU098,Male,21,Business,11,2,74,78,Bachelor,Pass,0.666666666666667,0.38888888888888884,0.18181818181818182,0.586206896551724,0.6000000000000001
STU099,Female,22,Engineering,15,3,86,90,Master,Pass,1.0,0.611111111111111,0.2727272727272727,0.7931034482758621,0.8181818181818181
STU100,Male,19,Arts,6,5,59,64,High School,Pass,0.0,0.1111111111111111,0.4545454545454546,0.3275862068965516,0.34545454545454546
STU101,Female,20,Computer Science,12,1,77,84,Bachelor,Pass,0.33333333333333304,0.4444444444444444,0.09090909090909091,0.6379310344827585,0.709090909090909
STU102,Male,21,Business,9,4,66,70,Master,Pass,0.666666666666667,0.2777777777777778,0.36363636363636365,0.4482758620689655,0.4545454545454546
STU103,Female,19,Engineering,14,2,82,88,High School,Pass,0.0,0.5555555555555555,0.18181818181818182,0.7241379310344827,0.7818181818181817
STU104,Male,22,Arts,5,2,43,49,Bachelor,Fail,1.0,0.05555555555555558,0.18181818181818182,0.051724137931034475,0.07272727272727275
STU105,Female,20,Computer Science,19,0,96,99,PhD,Pass,0.33333333333333304,0.8333333333333334,0.0,0.9655172413793103,0.9818181818181817
STU106,Male,21,Business,10,3,72,76,Bachelor,Pass,0.666666666666667,0.33333333333333337,0.2727272727272727,0.5517241379310345,0.5636363636363637
STU107,Female,19,Engineering,16,1,89,92,Master,Pass,0.0,0.6666666666666666,0.09090909090909091,0.8448275862068966,0.8545454545454545
STU108,Male,20,Arts,7,7,57,61,High School,Fail,0.33333333333333304,0.16666666666666663,0.6363636363636364,0.293103448275862,0.290909090909091
STU109,Female,22,Computer Science,11,2,78,82,Bachelor,Pass,1.0,0.38888888888888884,0.18181818181818182,0.6551724137931034,0.6727272727272726
STU110,Male,21,Business,8,5,63,68,Master,Pass,0.666666666666667,0.2222222222222222,0.4545454545454546,0.39655172413793105,0.4181818181818182
STU111,Female,19,Engineering,17,0,92,96,PhD,Pass,0.0,0.7222222222222222,0.0,0.896551724137931,0.9272727272727272
STU112,Male,20,Arts,4,11,49,54,Bachelor,Fail,0.33333333333333304,0.0,1.0,0.15517241379310343,0.1636363636363637
STU113,Female,21,Computer Science,13,3,84,87,High School,Pass,0.666666666666667,0.5,0.2727272727272727,0.7586206896551724,0.7636363636363637
STU114,Male,19,Business,9,2,70,74,Bachelor,Pass,0.0,0.2777777777777778,0.18181818181818182,0.5172413793103448,0.5272727272727273
STU115,Female,22,Engineering,15,1,85,88,Master,Pass,1.0,0.611111111111111,0.09090909090909091,0.7758620689655171,0.7818181818181817
STU116,Male,20,Arts,5,9,54,59,High School,Fail,0.33333333333333304,0.05555555555555558,0.8181818181818182,0.2413793103448275,0.25454545454545463
STU117,Female,21,Computer Science,22,0,95,97,PhD,Pass,0.666666666666667,0.9999999999999999,0.0,0.9482758620689655,0.9454545454545453
STU118,Male,19,Business,11,4,75,80,Bachelor,Pass,0.0,0.38888888888888884,0.36363636363636365,0.603448275862069,0.6363636363636365
STU119,Female,20,Arts,14,2,81,84,Master,Pass,0.33333333333333304,0.5555555555555555,0.18181818181818182,0.7068965517241379,0.709090909090909
STU120,Male,21,Arts,6,6,60,85,High School,Pass,0.666666666666667,0.1111111111111111,0.5454545454545454,0.3448275862068966,0.7272727272727273
STU121,Female,22,Computer Science,12,2,78,85,Bachelor,Pass,1.0,0.4444444444444444,0.18181818181818182,0.6551724137931034,0.7272727272727273
STU122,Male,19,Business,8,5,65,70,Master,Pass,0.0,0.2222222222222222,0.4545454545454546,0.43103448275862055,0.4545454545454546
STU123,Female,20,Engineering,15,0,88,92,High School,Pass,0.33333333333333304,0.611111111111111,0.0,0.8275862068965516,0.8545454545454545
STU124,Male,21,Arts,5,2,45,50,Bachelor,Fail,0.666666666666667,0.05555555555555558,0.18181818181818182,0.08620689655172409,0.09090909090909094
STU125,Female,19,Computer Science,21,1,95,98,PhD,Pass,0.0,0.9444444444444443,0.09090909090909091,0.9482758620689655,0.9636363636363636
STU126,Male,22,Business,10,3,70,72,Bachelor,Pass,1.0,0.33333333333333337,0.2727272727272727,0.5172413793103448,0.49090909090909096
STU127,Female,20,Engineering,14,2,82,85,Master,Pass,0.33333333333333304,0.5555555555555555,0.18181818181818182,0.7241379310344827,0.7272727272727273
STU128,Male,21,Arts,6,8,55,59,High School,Fail,0.666666666666667,0.1111111111111111,0.7272727272727273,0.2586206896551724,0.25454545454545463
STU129,Female,19,Computer Science,11,4,75,78,Bachelor,Pass,0.0,0.38888888888888884,0.36363636363636365,0.603448275862069,0.6000000000000001
STU130,Male,20,Business,9,1,68,74,Master,Pass,0.33333333333333304,0.2777777777777778,0.09090909090909091,0.482758620689655,0.5272727272727273
STU131,Female,21,Engineering,18,0,91,95,PhD,Pass,0.666666666666667,0.7777777777777778,0.0,0.8793103448275861,0.9090909090909092
STU132,Male,22,Arts,4,2,40,45,Bachelor,Fail,1.0,0.0,0.18181818181818182,0.0,0.0
STU133,Female,19,Computer Science,13,2,80,84,High School,Pass,0.0,0.5,0.18181818181818182,0.6896551724137931,0.709090909090909
STU134,Male,20,Business,7,6,60,65,Bachelor,Pass,0.33333333333333304,0.16666666666666663,0.5454545454545454,0.3448275862068966,0.36363636363636354
STU135,Female,21,Engineering,16,1,85,89,Master,Pass,0.666666666666667,0.6666666666666666,0.09090909090909091,0.7758620689655171,0.8
STU136,Male,19,Arts,5,10,50,55,High School,Fail,0.0,0.05555555555555558,0.9090909090909092,0.17241379310344818,0.18181818181818188
STU137,Female,22,Computer Science,20,0,98,99,PhD,Pass,1.0,0.888888888888889,0.0,1.0,0.9818181818181817
STU138,Male,20,Business,11,2,72,76,Bachelor,Pass,0.33333333333333304,0.38888888888888884,0.18181818181818182,0.5517241379310345,0.5636363636363637
STU139,Female,21,Engineering,15,3,84,88,Master,Pass,0.666666666666667,0.611111111111111,0.2727272727272727,0.7586206896551724,0.7818181818181817
STU140,Male,19,Arts,6,5,58,63,High School,Pass,0.0,0.1111111111111111,0.4545454545454546,0.31034482758620685,0.3272727272727274
STU141,Female,20,Computer Science,12,1,79,86,Bachelor,Pass,0.33333333333333304,0.4444444444444444,0.09090909090909091,0.6724137931034482,0.7454545454545454
STU142,Male,21,Business,9,4,67,71,Master,Pass,0.666666666666667,0.2777777777777778,0.36363636363636365,0.4655172413793103,0.47272727272727266
STU143,Female,22,Engineering,14,2,81,87,High School,Pass,1.0,0.5555555555555555,0.18181818181818182,0.7068965517241379,0.7636363636363637
STU144,Male,19,Arts,5,2,42,48,Bachelor,Fail,0.0,0.05555555555555558,0.18181818181818182,0.03448275862068961,0.054545454545454564
STU145,Female,20,Computer Science,19,0,94,97,PhD,Pass,0.33333333333333304,0.8333333333333334,0.0,0.9310344827586206,0.9454545454545453
STU146,Male,21,Business,10,3,71,75,Bachelor,Pass,0.666666666666667,0.33333333333333337,0.2727272727272727,0.5344827586206895,0.5454545454545454
STU147,Female,19,Engineering,16,1,87,90,Master,Pass,0.0,0.6666666666666666,0.09090909090909091,0.8103448275862069,0.8181818181818181
STU148,Male,22,Arts,7,7,56,60,High School,Fail,1.0,0.16666666666666663,0.6363636363636364,0.2758620689655171,0.2727272727272727
STU149,Female,20,Computer Science,11,2,76,80,Bachelor,Pass,0.33333333333333304,0.38888888888888884,0.18181818181818182,0.6206896551724137,0.6363636363636365
STU150,Male,21,Business,8,5,64,69,Master,Pass,0.666666666666667,0.2222222222222222,0.4545454545454546,0.4137931034482758,0.4363636363636363
STU151,Female,19,Engineering,17,0,90,94,PhD,Pass,0.0,0.7222222222222222,0.0,0.8620689655172413,0.8909090909090909
STU152,Male,20,Arts,4,11,48,52,Bachelor,Fail,0.33333333333333304,0.0,1.0,0.13793103448275856,0.12727272727272732
STU153,Female,22,Computer Science,13,3,82,85,High School,Pass,1.0,0.5,0.2727272727272727,0.7241379310344827,0.7272727272727273
STU154,Male,21,Business,9,2,69,73,Bachelor,Pass,0.666666666666667,0.2777777777777778,0.18181818181818182,0.5,0.509090909090909
STU155,Female,19,Engineering,15,1,86,89,Master,Pass,0.0,0.611111111111111,0.09090909090909091,0.7931034482758621,0.8
STU156,Male,20,Arts,5,9,52,57,High School,Fail,0.33333333333333304,0.05555555555555558,0.8181818181818182,0.2068965517241379,0.21818181818181825
STU157,Female,21,Computer Science,22,0,96,98,PhD,Pass,0.666666666666667,0.9999999999999999,0.0,0.9655172413793103,0.9636363636363636
STU158,Male,19,Business,11,4,73,78,Bachelor,Pass,0.0,0.38888888888888884,0.36363636363636365,0.5689655172413792,0.6000000000000001
STU159,Female,20,Arts,14,2,83,86,Master,Pass,0.33333333333333304,0.5555555555555555,0.18181818181818182,0.7413793103448276,0.7454545454545454
STU160,Male,21,Arts,6,6,59,85,High School,Pass,0.666666666666667,0.1111111111111111,0.5454545454545454,0.3275862068965516,0.7272727272727273
STU161,Female,22,Computer Science,12,2,77,83,Bachelor,Pass,1.0,0.4444444444444444,0.18181818181818182,0.6379310344827585,0.6909090909090909
STU162,Male,19,Business,8,5,66,70,Master,Pass,0.0,0.2222222222222222,0.4545454545454546,0.4482758620689655,0.4545454545454546
STU163,Female,20,Engineering,15,0,89,93,High School,Pass,0.33333333333333304,0.611111111111111,0.0,0.8448275862068966,0.8727272727272728
STU164,Male,21,Arts,5,2,44,49,Bachelor,Fail,0.666666666666667,0.05555555555555558,0.18181818181818182,0.06896551724137923,0.07272727272727275
STU165,Female,19,Computer Science,21,1,93,96,PhD,Pass,0.0,0.9444444444444443,0.09090909090909091,0.9137931034482758,0.9272727272727272
STU166,Male,22,Business,10,3,72,74,Bachelor,Pass,1.0,0.33333333333333337,0.2727272727272727,0.5517241379310345,0.5272727272727273
STU167,Female,20,Engineering,14,2,84,87,Master,Pass,0.33333333333333304,0.5555555555555555,0.18181818181818182,0.7586206896551724,0.7636363636363637
STU168,Male,21,Arts,6,8,54,58,High School,Fail,0.666666666666667,0.1111111111111111,0.7272727272727273,0.2413793103448275,0.23636363636363633
STU169,Female,19,Computer Science,11,4,74,77,Bachelor,Pass,0.0,0.38888888888888884,0.36363636363636365,0.586206896551724,0.5818181818181818
STU170,Male,20,Business,9,1,69,75,Master,Pass,0.33333333333333304,0.2777777777777778,0.09090909090909091,0.5,0.5454545454545454
STU171,Female,21,Engineering,18,0,92,96,PhD,Pass,0.666666666666667,0.7777777777777778,0.0,0.896551724137931,0.9272727272727272
STU172,Male,19,Arts,4,2,41,46,Bachelor,Fail,0.0,0.0,0.18181818181818182,0.01724137931034475,0.018181818181818188
STU173,Female,22,Computer Science,13,2,81,85,High School,Pass,1.0,0.5,0.18181818181818182,0.7068965517241379,0.7272727272727273
STU174,Male,20,Business,7,6,61,66,Bachelor,Pass,0.33333333333333304,0.16666666666666663,0.5454545454545454,0.3620689655172413,0.38181818181818183
STU175,Female,21,Engineering,16,1,86,90,Master,Pass,0.666666666666667,0.6666666666666666,0.09090909090909091,0.7931034482758621,0.8181818181818181
STU176,Male,19,Arts,5,10,51,56,High School,Fail,0.0,0.05555555555555558,0.9090909090909092,0.18965517241379304,0.19999999999999996
STU177,Female,20,Computer Science,20,0,97,99,PhD,Pass,0.33333333333333304,0.888888888888889,0.0,0.982758620689655,0.9818181818181817
STU178,Male,21,Business,11,2,73,77,Bachelor,Pass,0.666666666666667,0.38888888888888884,0.18181818181818182,0.5689655172413792,0.5818181818181818
STU179,Female,22,Engineering,15,3,85,89,Master,Pass,1.0,0.611111111111111,0.2727272727272727,0.7758620689655171,0.8
STU180,Male,19,Arts,6,5,57,80,High School,Pass,0.0,0.1111111111111111,0.4545454545454546,0.293103448275862,0.6363636363636365
STU181,Female,20,Computer Science,12,1,78,85,Bachelor,Pass,0.33333333333333304,0.4444444444444444,0.09090909090909091,0.6551724137931034,0.7272727272727273
STU182,Male,21,Business,9,4,68,72,Master,Pass,0.666666666666667,0.2777777777777778,0.36363636363636365,0.482758620689655,0.49090909090909096
STU183,Female,19,Engineering,14,2,80,86,High School,Pass,0.0,0.5555555555555555,0.18181818181818182,0.6896551724137931,0.7454545454545454
STU184,Male,22,Arts,5,2,46,51,Bachelor,Fail,1.0,0.05555555555555558,0.18181818181818182,0.10344827586206895,0.10909090909090913
STU185,Female,20,Computer Science,19,0,95,98,PhD,Pass,0.33333333333333304,0.8333333333333334,0.0,0.9482758620689655,0.9636363636363636
STU186,Male,21,Business,10,3,70,73,Bachelor,Pass,0.666666666666667,0.33333333333333337,0.2727272727272727,0.5172413793103448,0.509090909090909
STU187,Female,19,Engineering,16,1,88,91,Master,Pass,0.0,0.6666666666666666,0.09090909090909091,0.8275862068965516,0.8363636363636364
STU188,Male,20,Arts,7,7,55,59,High School,Fail,0.33333333333333304,0.16666666666666663,0.6363636363636364,0.2586206896551724,0.25454545454545463
STU189,Female,22,Computer Science,11,2,77,81,Bachelor,Pass,1.0,0.38888888888888884,0.18181818181818182,0.6379310344827585,0.6545454545454545
STU190,Male,21,Business,8,5,65,70,Master,Pass,0.666666666666667,0.2222222222222222,0.4545454545454546,0.43103448275862055,0.4545454545454546
STU191,Female,19,Engineering,17,0,91,95,PhD,Pass,0.0,0.7222222222222222,0.0,0.8793103448275861,0.9090909090909092
STU192,Male,20,Arts,4,11,47,53,Bachelor,Fail,0.33333333333333304,0.0,1.0,0.1206896551724137,0.1454545454545455
STU193,Female,21,Computer Science,13,3,83,86,High School,Pass,0.666666666666667,0.5,0.2727272727272727,0.7413793103448276,0.7454545454545454
STU194,Male,19,Business,9,2,68,72,Bachelor,Pass,0.0,0.2777777777777778,0.18181818181818182,0.482758620689655,0.49090909090909096
STU195,Female,22,Engineering,15,1,87,90,Master,Pass,1.0,0.611111111111111,0.09090909090909091,0.8103448275862069,0.8181818181818181
STU196,Male,20,Arts,5,9,53,58,High School,Fail,0.33333333333333304,0.05555555555555558,0.8181818181818182,0.22413793103448265,0.23636363636363633
